Depth,GR,MUD_VOLUME,TVD,Boundary_flag,Unit_index,GR_shape_code,Lithofacies_major,Lithofacies_mean,Sharp_boundary,Stacking_pattern,Biostratigraphy,Reliability,Special_lithology,Core_depofacies,Number_of_similar_units_50,Index_of_similar_units_50,Number_of_similar_units_100,Index_of_similar_units_100,Unit_Thick,Alluvial_Fan,Fluvial_Channel,Fluvial_Point_Bar,Levee,Crevasse_Splay,Fluvial_Floodplain,Progradational_Lacustrine_Delta,Lacustrine_Fan_Delta,Progradational_Lacustrine_Shoreface,Transgressive_Lacustrine_Shoreface,Aggradational_Lacustrine_Shoreface,Lacustrine_Offshore_Transition,Lacustrine_Shelf,Proximal_Sub-Lacustrine_Fan,Distal_Sub-Lacustrine_Fan,Lacustrine_Turbidite,Distal_Lacustrine_Turbidites,Lacustrine_Deepwater,Marine_Delta,Marine_Fan_Delta,Tidal_Channel_and_Sand_Flat,Sandy_Tidal_Flat,Mixed_Tidal_Flat,Muddy_Tidal_Flat,Lagoon,Progradational_Marine_Shoreface,Transgressive_Marine_Shoreface,Aggradational_Marine_Shoreface,Marine_Offshore_Transition,Marine_Shelf,Proximal_Submarine_Fan,Distal_Submarine_Fan,Marine_Turbidite,Distal_Marine_Turbidites,Marine_Deepwater
1766.9725,142.7698,0.6623,1766.9725,0,52,4,3,3,0,2,6,1,-999,-999.0,0,[],0,[],1.6490000000001146,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,5,0,0,0
1768.6214,146.8674,0.7312,1768.6215,0,53,5,4,4,0,2,6,1,-999,-999.0,0,[],0,[],2.8479999999999563,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,4,4,0,0,0,0,5,0,0,0,0,5
1771.4695,163.5182,0.8238,1771.4695,0,54,1,3,3,0,3,6,1,-999,-999.0,0,[],0,[],3.297800000000052,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,5,0,0,0
1774.7673,138.607,0.6246,1774.7673,0,55,5,4,3,0,3,6,1,-999,-999.0,0,[],0,[],3.5975999999998294,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,4,4,0,0,0,0,5,0,0,0,0,5
1778.3649,72.1918,0.2263,1778.3649,0,56,4,3,3,0,2,6,1,-999,-999.0,0,[],0,[],3.5976000000000568,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,5,0,0,0
1781.9625,134.5019,0.6996,1781.9625,0,57,1,3,3,0,2,6,1,-999,-999.0,0,[],0,[],1.9488000000001193,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,5,0,0,0
1783.9112,111.791,0.5922,1783.9113,0,58,4,3,3,0,2,6,1,-999,-999.0,0,[],0,[],1.049099999999953,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,5,0,0,0
1784.9605,129.6971,0.7365,1784.9604,0,59,5,4,4,0,2,6,1,-999,-999.0,0,[],0,[],1.6489999999998872,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,4,4,0,0,0,0,5,0,0,0,0,5
1786.6094,111.4471,0.743,1786.6094,0,60,5,4,4,0,3,6,1,-999,-999.0,0,[],0,[],1.7988000000000284,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,4,4,0,0,0,0,5,0,0,0,0,5
1788.4082,141.6143,0.8394,1788.4082,0,61,1,2,3,0,3,6,1,-999,-999.0,0,[],0,[],2.098600000000033,0,3,3,5,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,5,0,0
1790.5068,93.9009,0.3827,1790.5068,0,62,4,3,3,0,3,3,1,-999,-999.0,0,[],0,[],1.7987000000000535,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,5,0,0,0
1792.3056,129.9105,0.6011,1792.3055,0,63,1,3,3,0,3,3,1,-999,-999.0,0,[],0,[],2.5483999999999014,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,5,0,0,0
1794.8539,78.1616,0.2223,1794.8539,0,64,4,2,2,0,3,3,1,-999,-999.0,0,[],0,[],1.349100000000135,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
1796.203,85.685,0.2598,1796.203,0,65,4,3,3,0,2,3,1,-999,-999.0,0,[],0,[],2.5482999999999265,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,5,0,0,0
1798.7513,89.4677,0.29,1798.7513,0,66,4,3,3,0,1,3,1,-999,-999.0,0,[],0,[],3.147899999999936,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,5,0,0,0
1801.8992,98.1607,0.4,1801.8992,0,67,4,3,3,0,3,3,1,-999,-999.0,0,[],0,[],2.8481000000001586,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,5,0,0,0
